2026-03-10 12:08:51.585 | DEBUG    | __main__:run_ingestion:136 - Batch 50: inserted 194/200 | total 10,000
2026-03-10 12:08:52.496 | DEBUG    | __main__:run_ingestion:136 - Batch 51: inserted 199/200 | total 10,200
2026-03-10 12:08:53.560 | DEBUG    | __main__:run_ingestion:136 - Batch 52: inserted 199/200 | total 10,400
2026-03-10 12:08:54.659 | DEBUG    | __main__:run_ingestion:136 - Batch 53: inserted 200/200 | total 10,600
2026-03-10 12:08:55.778 | DEBUG    | __main__:run_ingestion:136 - Batch 54: inserted 199/200 | total 10,800
2026-03-10 12:08:56.832 | DEBUG    | __main__:run_ingestion:136 - Batch 55: inserted 197/200 | total 11,000
2026-03-10 12:08:57.948 | DEBUG    | __main__:run_ingestion:136 - Batch 56: inserted 198/200 | total 11,200
2026-03-10 12:08:59.021 | DEBUG    | __main__:run_ingestion:136 - Batch 57: inserted 198/200 | total 11,400
2026-03-10 12:09:00.082 | DEBUG    | __main__:run_ingestion:136 - Batch 58: inserted 199/200 | total 11,600
2026-03-10 12:09:01.636 | DEBUG    | __main__:run_ingestion:136 - Batch 59: inserted 199/200 | total 11,800
2026-03-10 12:09:02.747 | DEBUG    | __main__:run_ingestion:136 - Batch 60: inserted 197/200 | total 12,000
2026-03-10 12:09:03.819 | DEBUG    | __main__:run_ingestion:136 - Batch 61: inserted 199/200 | total 12,200
2026-03-10 12:09:04.966 | DEBUG    | __main__:run_ingestion:136 - Batch 62: inserted 196/200 | total 12,400
2026-03-10 12:09:06.021 | DEBUG    | __main__:run_ingestion:136 - Batch 63: inserted 196/200 | total 12,600
2026-03-10 12:09:07.069 | DEBUG    | __main__:run_ingestion:136 - Batch 64: inserted 197/200 | total 12,800
2026-03-10 12:09:08.162 | DEBUG    | __main__:run_ingestion:136 - Batch 65: inserted 193/200 | total 13,000
2026-03-10 12:09:09.273 | DEBUG    | __main__:run_ingestion:136 - Batch 66: inserted 198/200 | total 13,200
2026-03-10 12:09:10.457 | DEBUG    | __main__:run_ingestion:136 - Batch 67: inserted 199/200 | total 13,400
2026-03-10 12:09:11.418 | DEBUG    | __main__:run_ingestion:136 - Batch 68: inserted 200/200 | total 13,600
2026-03-10 12:09:12.511 | DEBUG    | __main__:run_ingestion:136 - Batch 69: inserted 200/200 | total 13,800
2026-03-10 12:09:13.693 | DEBUG    | __main__:run_ingestion:136 - Batch 70: inserted 197/200 | total 14,000
2026-03-10 12:09:14.880 | DEBUG    | __main__:run_ingestion:136 - Batch 71: inserted 192/200 | total 14,200
2026-03-10 12:09:16.154 | DEBUG    | __main__:run_ingestion:136 - Batch 72: inserted 187/200 | total 14,400
