tx_hash,block_number,timestamp,sender,receiver,amount,token,token_contract
cb7f912355eb2b6c3a5dbe99f39018dcddd961dd3bd6d5eefdcee95ef0c29faa,80825216,1773142452000,0xc3640e25451559d4077ede6d123b3c6a0cccb355,0x45ba08cef64f5ded93b896f77873c951f7d079e7,2000000000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
692ebe6ac3caaf6502d3a8b9b274ce4cd38c2612554f4cfed1a686376ec03434,80825216,1773142452000,0xa2e7d2301aea57e94a2baa5804f56a93e1efa59f,0x6397d5b8d2bafcd4c439d3debe4c14c75b3ad651,111000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
6e97611f1f9e44096ab230bae8f6e8bbbe71dec4d25d00ebf765453e0ffea861,80825216,1773142452000,0x240d393800f2c2c6a34aaa7e9b0cf03de8b30741,0x0f47da7ffb441616c78ecc927b384e8eca53b1eb,2107000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
14621fb01eda5a63b54efa976dc2d7777a80082c893126fa290540ba0bfe4965,80825216,1773142452000,0x6904d400dfc3fbbccce147206c4441f13e111c05,0x99a9a23b537ad50b4cf65e4abbbf107c3251a954,80000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
6ab10e0870897cb81e2a1229ff3e0ad23e7f3cae9eda38cca8b13babad235304,80825216,1773142452000,0x24730e57debdda51e1463a0754b093200988a770,0x240c2a16aba8ced943f9ce01da5aa0811ae510da,103000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
fa1b9685c2c25c0ad14877dd27574d1407ab6b8f6ff73067205d6138b8d5b993,80825216,1773142452000,0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0x43132a3070470cf725024f5b28cabc8da7b67d4b,1000000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
caf5dbac750ca4bdd1d71728a127544ece085d5160f541eb6ef63c91c04f456e,80825216,1773142452000,0xbe032bdcfbf12005db7098fa4e21220ea3a67f7d,0xdf47d9179dcf902ac2fe5ab6aaabe91c13c6bd26,4300000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
8fd26b69f11745909fa682b6d937d2788fb64dd18815d570dbde79b156a0343a,80825216,1773142452000,0x13ba85dc0b0b46c6c27e41dba8ec867626d5b280,0x41b49cad88b2baec2c935d22a8f48746f6f340c7,7800000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
78a86a15360305ff5042ebec25744128314ace9ff949263495a99018d82a41b2,80825216,1773142452000,0xf7a734d0cd0771ee04c6997856df4b3000039f0f,0xda329c022cab0fdeec366311576fad25dde18d24,2600000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
b63c6458f4680f567a9c864c0b9bc58eb36338c425a5cef850452f69c6848546,80825216,1773142452000,0xec5d5cd690065e9ddebd878220fc5274a1e8702d,0x62ff89f37bda44ab84298afe8b8d433068ebbec0,6938780000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
cd5d6608e4b043080c8bde645ca8bd326d7bca8c2162397a8ad3247b703860eb,80825216,1773142452000,0xa5f62e8686f478edfb0a908860ffb55ee1c8eb7d,0x4bf0a3ab05e4a243d138ce5231ab7ee18f47e6bf,3500000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
5ecaa098180fc4a8e1cb92142355f20f96fe0d824a7374a5a9b146b187bfb53b,80825216,1773142452000,0x1e1acb239c89707e734c009a09c9acb8923cf93b,0xdecc84f6017a80710e6650b32a21b09835300bb9,50000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
3220a9f576a49290336106b50431543920bb07931ce57e9d066b4a145891d5f8,80825216,1773142452000,0x4c93df4e07dd5fa444d5c25f0d2dea6831b8c0e5,0xf12187ed7863d4e51851084849958ff066346bc5,25000000,USDT,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
